Survey ID,Room Rate Clean,Room Number Clean,Room Type Clean,Survey language,Arrival Date,Departure Date,Loyalty Program Tier,Mobile Check-In,Intent to Recommend (Property),Cleanliness,Staff Service,Food and Beverage,Maintenance and Upkeep,Design and Décor,Overall Score
1,184,811,PQ,English,1/29/2024,2/2/2024,Titanium,No,6,7,7,8,7,7,3
5,146.33,1721,CK,English,1/29/2024,2/1/2024,Ambassador,Yes,4,8,6,6,4,8,2
6,169,902,GK,English,2/4/2024,2/5/2024,Member,No,3,1,9,1,1,2,1.5
7,194,1201,PK,English,1/29/2024,2/1/2024,Silver,No,9,8,8,8,8,8,4.5
8,285.33,805,PQ,English,2/1/2024,2/5/2024,Gold,Yes,10,10,10,8,10,10,5
9,201.67,1005,PQ,English,1/29/2024,2/1/2024,Platinum,Yes,9,9,8,7,9,7,4.5
11,178,310,GQ,English,2/2/2024,2/3/2024,Member,Yes,8,10,10,7,3,10,4
12,204,1522,CK,English,1/27/2024,1/31/2024,Member,No,7,10,10,9,8,7,3.5
14,148,1723,CK,English,1/31/2024,2/2/2024,Platinum,No,8,9,10,10,6,9,4
16,151.5,1602,ES,English,1/25/2024,1/29/2024,Platinum,No,3,9,4,9,2,9,1.5
20,161,1716,CK,English,1/26/2024,1/27/2024,Gold,No,8,8,10,8,6,9,4
22,152,1724,CK,English,2/1/2024,2/2/2024,Member,No,10,9,8,8,8,8,5
24,199,1506,CK,English,1/30/2024,2/2/2024,Member,No,8,8,8,8,8,7,4
26,152.1,910,GQ,English,1/30/2024,2/2/2024,Titanium,Yes,3,5,7,8,9,8,1.5
27,205,1406,GQ,English,2/1/2024,2/2/2024,Member,No,10,10,9,5,9,9,5
28,187.33,825,PK,English,1/25/2024,1/29/2024,Member,No,7,5,9,9,3,7,3.5
31,203.5,1017,PQ,English,1/30/2024,2/1/2024,Silver,No,1,1,1,6,1,1,0.5
32,186,1506,CK,English,1/29/2024,1/30/2024,Platinum,Yes,5,9,5,7,9,9,2.5
34,165.5,1403,PQ,English,1/26/2024,1/28/2024,Platinum,No,10,8,10,5,10,8,5
36,136,604,GQ,English,1/26/2024,1/27/2024,Member,No,10,10,10,9,7,9,5
37,127,807,PK,English,1/27/2024,1/28/2024,Member,No,5,8,8,8,8,8,2.5
38,184,524,GK,English,1/28/2024,2/1/2024,Silver,No,10,10,6,8,5,8,5
39,127,1004,GK,English,1/27/2024,1/28/2024,Silver,Yes,8,8,8,8,8,8,4
42,169,717,PQ,English,1/25/2024,1/27/2024,Gold,No,9,10,10,9,10,9,4.5
48,135,1004,GK,English,1/29/2024,1/30/2024,Platinum,Yes,10,10,10,10,10,10,5
49,190.5,1510,CK,English,1/24/2024,1/26/2024,Member,No,10,10,10,8,10,10,5
53,187.5,920,GQ,English,1/21/2024,1/23/2024,Gold,No,10,9,10,9,9,8,5
59,175.75,1018,GQ,English,1/21/2024,1/27/2024,Member,No,10,10,10,10,10,10,5
60,195,203,GKA,English,1/22/2024,1/23/2024,Member,Yes,7,4,8,,8,8,3.5
61,215,706,GQ,English,1/23/2024,1/24/2024,Member,No,6,6,10,,3,6,3
62,195,1517,CK,English,1/24/2024,1/25/2024,Member,No,3,5,1,1,5,5,1.5
63,179,1212,GK,English,1/23/2024,1/25/2024,Gold,Yes,10,10,10,10,10,10,5
64,254,1117,PQ,English,1/18/2024,1/23/2024,Silver,No,7,8,8,8,8,4,3.5
65,192.33,1225,PK,English,1/22/2024,1/26/2024,Gold,No,6,8,8,6,5,7,3
67,160,604,GQ,English,1/21/2024,1/21/2024,Gold,No,6,9,6,8,8,8,3
69,191.5,202,GK,English,1/21/2024,1/25/2024,Member,Yes,9,7,10,7,7,7,4.5
70,249,1007,PQ,English,1/20/2024,1/21/2024,Member,No,10,9,10,9,9,9,5
72,207,803,PK,English,1/17/2024,1/20/2024,Member,Yes,10,9,9,7,9,10,5
75,131,1104,GK,English,1/19/2024,1/22/2024,Silver,Yes,8,8,8,8,8,8,4
76,178,1214,GK,English,1/20/2024,1/24/2024,Silver,No,7,2,9,6,2,6,3.5
79,246,725,PK,English,1/20/2024,1/21/2024,Member,Yes,10,,,,,,5
83,195,1123,PQ,English,1/17/2024,1/18/2024,Member,No,7,9,10,5,3,7,3.5
84,172.35,1604,CK,English,1/15/2024,1/20/2024,Gold,Yes,10,10,10,10,10,10,5
85,194,607,PQ,English,1/19/2024,1/21/2024,Member,No,5,4,10,10,4,4,2.5
86,219.6,1421,PK,English,1/19/2024,1/21/2024,Silver,No,10,8,7,8,9,8,5
88,148,814,GQ,English,1/20/2024,1/21/2024,Platinum,No,2,10,10,10,10,10,1
90,194,1421,PK,English,1/17/2024,1/19/2024,Titanium,Yes,9,10,10,10,7,9,4.5
91,209,1021,PK,English,1/16/2024,1/18/2024,Platinum,No,5,8,10,,8,10,2.5
93,194,1105,PQ,English,1/12/2024,1/15/2024,Silver,No,10,10,10,10,10,10,5
95,169,1608,CK,English,1/14/2024,1/15/2024,Gold,No,7,7,7,10,5,7,3.5
96,291.5,1119,PQ,English,1/12/2024,1/15/2024,Member,No,8,10,7,9,8,8,4
97,229,1023,PQ,English,1/16/2024,1/18/2024,Silver,No,4,6,8,5,2,5,2
100,157.5,1221,PK,English,1/15/2024,1/17/2024,Gold,Yes,8,8,10,8,7,10,4
104,224,1712,CQ,English,1/13/2024,1/17/2024,Member,No,10,10,10,10,10,10,5
105,209,1617,CK,English,1/12/2024,1/13/2024,Titanium,Yes,10,10,10,8,10,10,5
106,152.1,1122,GK,English,1/8/2024,1/11/2024,Member,Yes,10,9,9,9,9,4,5
